from_currency,to_currency,rate_date,rate
CAD,USD,2020-01-01,0.7530
CAD,USD,2020-04-01,0.7230
CAD,USD,2020-07-01,0.7560
CAD,USD,2020-10-01,0.7870
CAD,USD,2021-01-01,0.7920
CAD,USD,2021-04-01,0.8250
CAD,USD,2021-07-01,0.7970
CAD,USD,2021-10-01,0.7930
CAD,USD,2022-01-01,0.7910
CAD,USD,2022-04-01,0.7760
CAD,USD,2022-07-01,0.7660
CAD,USD,2022-10-01,0.7340
CAD,USD,2023-01-01,0.7330
CAD,USD,2023-04-01,0.7400
CAD,USD,2023-07-01,0.7440
CAD,USD,2023-10-01,0.7430
CAD,USD,2024-01-01,0.7400
CAD,USD,2024-04-01,0.7270
CAD,USD,2024-07-01,0.7380
CAD,USD,2024-10-01,0.7150
CAD,USD,2025-01-01,0.6960
CAD,USD,2025-04-01,0.7230
CAD,USD,2025-07-01,0.7370
CAD,USD,2025-10-01,0.7260
CAD,USD,2026-01-01,0.7300
CAD,USD,2026-04-01,0.7300
CAD,USD,2026-07-01,0.7300
CAD,USD,2026-10-01,0.7300
AUD,USD,2020-01-01,0.6860
AUD,USD,2020-04-01,0.6400
AUD,USD,2020-07-01,0.7140
AUD,USD,2020-10-01,0.7550
AUD,USD,2021-01-01,0.7710
AUD,USD,2021-04-01,0.7750
AUD,USD,2021-07-01,0.7330
AUD,USD,2021-10-01,0.7190
AUD,USD,2022-01-01,0.7200
AUD,USD,2022-04-01,0.6960
AUD,USD,2022-07-01,0.6770
AUD,USD,2022-10-01,0.6420
AUD,USD,2023-01-01,0.6820
AUD,USD,2023-04-01,0.6680
AUD,USD,2023-07-01,0.6590
AUD,USD,2023-10-01,0.6430
AUD,USD,2024-01-01,0.6550
AUD,USD,2024-04-01,0.6520
AUD,USD,2024-07-01,0.6750
AUD,USD,2024-10-01,0.6340
AUD,USD,2025-01-01,0.6220
AUD,USD,2025-04-01,0.6460
AUD,USD,2025-07-01,0.6560
AUD,USD,2025-10-01,0.6380
AUD,USD,2026-01-01,0.6400
AUD,USD,2026-04-01,0.6400
AUD,USD,2026-07-01,0.6400
AUD,USD,2026-10-01,0.6400
KES,USD,2020-01-01,0.009709
KES,USD,2020-04-01,0.009662
KES,USD,2020-07-01,0.009434
KES,USD,2020-10-01,0.009259
KES,USD,2021-01-01,0.009091
KES,USD,2021-04-01,0.009009
KES,USD,2021-07-01,0.009009
KES,USD,2021-10-01,0.008929
KES,USD,2022-01-01,0.008772
KES,USD,2022-04-01,0.008621
KES,USD,2022-07-01,0.008368
KES,USD,2022-10-01,0.008130
KES,USD,2023-01-01,0.007937
KES,USD,2023-04-01,0.007519
KES,USD,2023-07-01,0.007299
KES,USD,2023-10-01,0.007194
KES,USD,2024-01-01,0.007752
KES,USD,2024-04-01,0.007752
KES,USD,2024-07-01,0.007634
KES,USD,2024-10-01,0.007634
KES,USD,2025-01-01,0.007752
KES,USD,2025-04-01,0.007752
KES,USD,2025-07-01,0.007752
KES,USD,2025-10-01,0.007752
KES,USD,2026-01-01,0.007752
KES,USD,2026-04-01,0.007752
KES,USD,2026-07-01,0.007752
KES,USD,2026-10-01,0.007752
NGN,USD,2020-01-01,0.002770
NGN,USD,2022-01-01,0.002415
NGN,USD,2023-01-01,0.002165
NGN,USD,2024-01-01,0.000695
NGN,USD,2025-01-01,0.000617
NGN,USD,2026-01-01,0.000617
ZAR,USD,2020-01-01,0.06879
ZAR,USD,2022-01-01,0.06470
ZAR,USD,2023-01-01,0.05814
ZAR,USD,2024-01-01,0.05319
ZAR,USD,2025-01-01,0.05420
ZAR,USD,2026-01-01,0.05420
INR,USD,2020-01-01,0.01402
INR,USD,2022-01-01,0.01330
INR,USD,2023-01-01,0.01206
INR,USD,2024-01-01,0.01200
INR,USD,2025-01-01,0.01165
INR,USD,2026-01-01,0.01165
BRL,USD,2020-01-01,0.24735
BRL,USD,2022-01-01,0.19011
BRL,USD,2023-01-01,0.19011
BRL,USD,2024-01-01,0.20284
BRL,USD,2025-01-01,0.17301
BRL,USD,2026-01-01,0.17301
MXN,USD,2020-01-01,0.05289
MXN,USD,2022-01-01,0.04892
MXN,USD,2023-01-01,0.05495
MXN,USD,2024-01-01,0.05897
MXN,USD,2025-01-01,0.04892
MXN,USD,2026-01-01,0.04892
