date_start,campaign_id,ad_set_id,ad_id,spend,impressions,clicks,reach,inline_link_clicks,actions,action_values
2026-01-05,MC004,AS006,AD010,147.19,9207,231,6686,160,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""388.71""}]"
2026-01-05,MC004,AS007,AD011,187.26,14700,330,11866,236,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""706.41""}]"
2026-01-05,MC007,AS011,AD018,415.09,81194,784,69872,572,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""282.66""}]"
2026-01-06,MC001,AS001,AD001,312.51,45439,351,33971,259,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.0""}]"
2026-01-06,MC001,AS001,AD002,297.77,54010,446,47296,335,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""127.37""}]"
2026-01-06,MC004,AS006,AD009,157.15,12391,261,9868,198,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""655.26""}]"
2026-01-06,MC004,AS006,AD010,159.21,10510,188,8265,135,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""446.99""}]"
2026-01-06,MC004,AS007,AD011,157.74,9852,193,7393,151,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""264.95""}]"
2026-01-06,MC007,AS011,AD018,398.57,63212,587,51859,471,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""134.43""}]"
2026-01-07,MC001,AS001,AD001,330.91,42507,358,31063,255,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""151.89""}]"
2026-01-07,MC001,AS001,AD002,301.57,46415,382,39809,304,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""112.49""}]"
2026-01-07,MC004,AS006,AD009,168.2,11127,271,9469,207,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""519.54""}]"
2026-01-07,MC004,AS006,AD010,147.74,11792,202,10096,161,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""400.32""}]"
2026-01-07,MC004,AS007,AD011,139.53,9579,174,7743,133,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""237.8""}]"
2026-01-07,MC007,AS011,AD018,404.53,60363,500,46173,341,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""258.66""}]"
2026-01-08,MC001,AS001,AD001,281.39,53370,347,39107,284,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""158.36""}]"
2026-01-08,MC001,AS001,AD002,306.56,42458,298,36963,227,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.0""}]"
2026-01-08,MC004,AS006,AD009,148.86,10419,241,7800,168,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""634.44""}]"
2026-01-08,MC004,AS006,AD010,180.98,12880,338,10475,254,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""617.63""}]"
2026-01-08,MC004,AS007,AD011,166.06,10393,292,8007,208,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""698.0""}]"
2026-01-08,MC007,AS011,AD018,466.4,67698,693,49191,586,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""270.26""}]"
2026-01-09,MC001,AS001,AD001,338.96,64368,508,51910,352,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""103.26""}]"
2026-01-09,MC001,AS001,AD002,341.91,53764,348,40273,284,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""136.3""}]"
2026-01-09,MC004,AS006,AD009,159.98,13911,292,11523,220,"[{""action_type"": ""purchase"", ""value"": ""8""}]","[{""action_type"": ""purchase"", ""value"": ""1180.28""}]"
2026-01-09,MC004,AS006,AD010,158.39,13860,324,11203,214,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""542.85""}]"
2026-01-09,MC004,AS007,AD011,152.5,10247,227,7703,160,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""402.7""}]"
2026-01-09,MC007,AS011,AD018,367.11,52929,499,43739,419,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""145.59""}]"
2026-01-10,MC001,AS001,AD001,285.04,46941,434,33881,339,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""129.01""}]"
2026-01-10,MC001,AS001,AD002,314.34,49452,392,40559,278,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""105.49""}]"
2026-01-10,MC004,AS006,AD009,166.5,10545,261,9158,178,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""181.25""}]"
2026-01-10,MC004,AS006,AD010,167.55,11690,316,8454,253,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""329.85""}]"
2026-01-10,MC004,AS007,AD011,173.85,11101,225,8255,157,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""350.44""}]"
2026-01-10,MC007,AS011,AD018,423.64,54228,443,39080,290,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""113.77""}]"
2026-01-11,MC001,AS001,AD001,360.9,54281,388,42816,259,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""101.76""}]"
2026-01-11,MC001,AS001,AD002,323.05,54509,541,42655,436,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""136.87""}]"
2026-01-11,MC004,AS006,AD009,171.96,12657,252,11003,196,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""533.85""}]"
2026-01-11,MC004,AS006,AD010,164.66,11753,266,10019,177,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""638.71""}]"
2026-01-11,MC004,AS007,AD011,177.87,12920,217,10688,143,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""424.36""}]"
2026-01-11,MC007,AS011,AD018,399.19,60563,292,51204,239,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""144.38""}]"
2026-01-12,MC001,AS001,AD001,339.33,50169,434,40208,329,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""136.09""}]"
2026-01-12,MC001,AS001,AD002,326.82,49960,408,40796,273,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""104.41""}]"
2026-01-12,MC004,AS006,AD009,144.8,9121,268,7676,199,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""378.08""}]"
2026-01-12,MC004,AS006,AD010,183.97,13466,304,10485,255,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""618.59""}]"
2026-01-12,MC004,AS007,AD011,175.06,12275,216,9620,147,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""333.92""}]"
2026-01-12,MC007,AS011,AD018,455.53,74317,621,61848,423,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""180.46""}]"
2026-01-13,MC001,AS001,AD001,307.45,47153,372,35801,279,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""139.23""}]"
2026-01-13,MC001,AS001,AD002,327.89,57245,494,46131,386,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""135.17""}]"
2026-01-13,MC004,AS006,AD009,173.44,13126,288,9926,217,"[{""action_type"": ""purchase"", ""value"": ""7""}]","[{""action_type"": ""purchase"", ""value"": ""618.02""}]"
2026-01-13,MC004,AS006,AD010,188.67,13032,270,10013,207,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""779.89""}]"
2026-01-13,MC004,AS007,AD011,171.05,15320,260,12932,187,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""437.91""}]"
2026-01-13,MC007,AS011,AD018,478.33,62473,465,52692,340,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""192.07""}]"
2026-01-14,MC001,AS001,AD001,333.43,47198,442,37531,369,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""88.97""}]"
2026-01-14,MC001,AS001,AD002,307.03,42800,384,35967,319,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""187.22""}]"
2026-01-14,MC004,AS006,AD009,165.04,11618,250,9964,200,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""434.29""}]"
2026-01-14,MC004,AS006,AD010,169.18,11843,269,9040,183,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""364.89""}]"
2026-01-14,MC004,AS007,AD011,168.63,12614,319,9759,226,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""863.0""}]"
2026-01-14,MC007,AS011,AD018,414.66,56977,380,48349,295,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""141.19""}]"
2026-01-15,MC001,AS001,AD001,320.67,49920,339,40204,232,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.0""}]"
2026-01-15,MC001,AS001,AD002,325.25,44814,346,33838,251,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""111.74""}]"
2026-01-15,MC004,AS006,AD009,181.09,16013,363,12414,239,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""765.87""}]"
2026-01-15,MC004,AS006,AD010,159.96,12548,274,10149,185,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""706.28""}]"
2026-01-15,MC004,AS007,AD011,147.01,12493,175,9756,137,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""284.7""}]"
2026-01-15,MC007,AS011,AD018,345.88,49492,388,38109,312,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""118.02""}]"
2026-01-16,MC001,AS001,AD001,335.13,46659,349,36139,276,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""220.79""}]"
2026-01-16,MC001,AS001,AD002,304.89,43624,321,32658,257,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.0""}]"
2026-01-16,MC004,AS006,AD009,172.35,10777,204,9266,138,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""377.65""}]"
2026-01-16,MC004,AS006,AD010,141.59,10200,249,7904,175,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""478.74""}]"
2026-01-16,MC004,AS007,AD011,175.07,12910,269,11247,226,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""489.03""}]"
2026-01-16,MC007,AS011,AD018,442.69,87879,672,71469,496,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""273.93""}]"
2026-01-17,MC001,AS001,AD001,393.0,61412,524,53389,379,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""260.97""}]"
2026-01-17,MC001,AS001,AD002,338.07,63579,617,55198,402,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""209.87""}]"
2026-01-17,MC004,AS006,AD009,169.44,10435,259,8754,182,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""740.31""}]"
2026-01-17,MC004,AS006,AD010,168.69,11461,234,8940,178,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""395.68""}]"
2026-01-17,MC004,AS007,AD011,168.22,10301,224,8111,153,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""395.71""}]"
2026-01-17,MC007,AS011,AD018,353.63,60268,470,46302,336,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""85.68""}]"
2026-01-18,MC001,AS001,AD001,350.35,51409,459,43228,356,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""139.93""}]"
2026-01-18,MC001,AS001,AD002,327.58,38734,272,32399,227,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""97.99""}]"
2026-01-18,MC004,AS006,AD009,163.55,11461,223,9726,165,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""644.8""}]"
2026-01-18,MC004,AS006,AD010,154.11,10090,241,8272,165,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""589.91""}]"
2026-01-18,MC004,AS007,AD011,160.61,11988,255,9210,203,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""686.22""}]"
2026-01-18,MC007,AS011,AD018,392.97,53430,364,44616,297,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""115.54""}]"
2026-01-19,MC001,AS001,AD001,338.53,46994,331,39703,218,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""101.44""}]"
2026-01-19,MC001,AS001,AD002,351.36,60999,519,46948,355,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""124.45""}]"
2026-01-19,MC004,AS006,AD009,146.15,8950,203,6873,158,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""421.69""}]"
2026-01-19,MC004,AS006,AD010,157.76,11210,225,8870,184,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""416.94""}]"
2026-01-19,MC004,AS007,AD011,147.43,8028,142,6947,92,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""216.05""}]"
2026-01-19,MC007,AS011,AD018,392.31,53880,408,38938,329,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""109.99""}]"
2026-01-20,MC001,AS001,AD001,313.89,68098,609,50333,497,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""146.22""}]"
2026-01-20,MC001,AS001,AD002,300.52,55045,540,44336,456,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""260.43""}]"
2026-01-20,MC004,AS006,AD009,167.44,13123,246,11376,189,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""443.79""}]"
2026-01-20,MC004,AS006,AD010,163.33,9870,213,8346,156,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""490.55""}]"
2026-01-20,MC004,AS007,AD011,163.46,11596,245,9745,184,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""446.76""}]"
2026-01-20,MC007,AS011,AD018,419.91,55256,406,47542,340,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""277.52""}]"
2026-01-21,MC001,AS001,AD001,314.52,59653,521,44050,412,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""304.55""}]"
2026-01-21,MC001,AS001,AD002,261.41,47865,414,36306,334,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""278.33""}]"
2026-01-21,MC004,AS006,AD009,160.59,12412,298,9969,210,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""440.29""}]"
2026-01-21,MC004,AS006,AD010,177.34,15632,355,12450,296,"[{""action_type"": ""purchase"", ""value"": ""7""}]","[{""action_type"": ""purchase"", ""value"": ""1106.88""}]"
2026-01-21,MC004,AS007,AD011,158.79,12026,284,10066,213,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""790.29""}]"
2026-01-21,MC007,AS011,AD018,387.49,60237,408,43518,311,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.0""}]"
2026-01-22,MC001,AS001,AD001,324.91,51892,451,45600,306,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""112.07""}]"
2026-01-22,MC001,AS001,AD002,284.67,45650,398,37136,273,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""105.03""}]"
2026-01-22,MC004,AS006,AD009,174.85,11939,276,10080,180,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""693.84""}]"
2026-01-22,MC004,AS006,AD010,198.07,13276,376,10876,247,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""787.64""}]"
2026-01-22,MC004,AS007,AD011,155.85,10475,218,8761,176,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""576.84""}]"
2026-01-22,MC007,AS011,AD018,378.74,55867,356,42883,288,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""89.45""}]"
2026-01-23,MC001,AS001,AD001,267.2,44337,377,34677,310,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""145.19""}]"
2026-01-23,MC001,AS001,AD002,336.21,48670,387,40924,300,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.0""}]"
2026-01-23,MC004,AS006,AD009,169.89,11653,272,9962,181,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""313.6""}]"
2026-01-23,MC004,AS006,AD010,174.66,10457,235,8294,171,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""512.99""}]"
2026-01-23,MC004,AS007,AD011,163.72,13975,300,12134,240,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""625.62""}]"
2026-01-23,MC007,AS011,AD018,425.02,60469,418,47398,301,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""93.8""}]"
2026-01-24,MC001,AS001,AD001,365.27,66595,499,50155,416,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""206.73""}]"
2026-01-24,MC001,AS001,AD002,318.13,43542,352,34221,241,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""116.38""}]"
2026-01-24,MC004,AS006,AD009,135.72,9882,251,8278,191,"[{""action_type"": ""purchase"", ""value"": ""4""}]","[{""action_type"": ""purchase"", ""value"": ""486.95""}]"
2026-01-24,MC004,AS006,AD010,198.19,13213,240,10049,170,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""428.37""}]"
2026-01-24,MC004,AS007,AD011,164.05,11445,303,9762,245,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""772.87""}]"
2026-01-24,MC007,AS011,AD018,425.0,77715,657,66743,457,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""269.2""}]"
2026-01-25,MC001,AS001,AD001,292.24,46857,504,36711,347,"[{""action_type"": ""purchase"", ""value"": ""2""}]","[{""action_type"": ""purchase"", ""value"": ""186.53""}]"
2026-01-25,MC001,AS001,AD002,266.9,45712,403,33077,263,"[{""action_type"": ""purchase"", ""value"": ""0""}]","[{""action_type"": ""purchase"", ""value"": ""0.0""}]"
2026-01-25,MC004,AS006,AD009,142.8,9996,254,7810,166,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""780.42""}]"
2026-01-25,MC004,AS006,AD010,171.03,13370,316,10825,231,"[{""action_type"": ""purchase"", ""value"": ""6""}]","[{""action_type"": ""purchase"", ""value"": ""824.05""}]"
2026-01-25,MC004,AS007,AD011,173.2,12527,288,9814,209,"[{""action_type"": ""purchase"", ""value"": ""5""}]","[{""action_type"": ""purchase"", ""value"": ""661.29""}]"
2026-01-25,MC007,AS011,AD018,424.2,62061,550,46796,383,"[{""action_type"": ""purchase"", ""value"": ""3""}]","[{""action_type"": ""purchase"", ""value"": ""258.44""}]"
2026-01-26,MC001,AS001,AD001,316.9,50930,387,40079,282,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""125.68""}]"
2026-01-26,MC001,AS001,AD002,331.77,45658,405,38204,321,"[{""action_type"": ""purchase"", ""value"": ""1""}]","[{""action_type"": ""purchase"", ""value"": ""135.65""}]"
