id,sku,cost,tracked,country_code_of_origin,created_at,updated_at
3000027,RW-018,25.3,True,PT,2026-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00
3000028,OJ-0028-XS-BLA,113.0,True,CN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000029,OJ-0028-XS-NAV,71.18,True,VN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000030,OJ-0028-XS-GRA,59.49,True,CN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000031,OJ-0028-S-BLA,51.59,True,BD,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000032,OJ-0028-S-NAV,45.29,True,IN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000033,OJ-0028-S-GRA,106.18,True,VN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000034,OJ-0028-M-BLA,69.19,True,PT,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000035,OJ-0028-M-NAV,111.59,True,VN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000036,OJ-0028-M-GRA,123.57,True,CN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000037,OJ-0028-L-BLA,73.36,True,IN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000038,OJ-0028-L-NAV,107.93,True,CN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000039,OJ-0028-L-GRA,126.84,True,CN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000040,OJ-0028-XL-BLA,65.52,True,PT,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000041,OJ-0028-XL-NAV,115.8,True,CN,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000042,OJ-0028-XL-GRA,40.66,True,BD,2024-10-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000043,OJ-0029-XS-BRO,104.93,True,BD,2024-12-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000044,OJ-0029-XS-GRA,76.57,True,IN,2024-12-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000045,OJ-0029-XS-CAM,49.76,True,BD,2024-12-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000046,OJ-0030-XS-CAM,106.47,True,CN,2022-10-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000047,OJ-0030-XS-BRO,131.12,True,BD,2022-10-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000048,OJ-0030-S-CAM,106.65,True,CN,2022-10-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000049,OJ-0030-S-BRO,85.63,True,PT,2022-10-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000050,OJ-0030-M-CAM,58.56,True,PT,2022-10-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000051,OJ-0030-M-BRO,78.29,True,VN,2022-10-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000052,OJ-0031-XS-GRA,110.65,True,CN,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000053,OJ-0031-XS-BLA,100.33,True,BD,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000054,OJ-0031-XS-BRO,113.93,True,VN,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000055,OJ-0031-S-GRA,81.68,True,IN,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000056,OJ-0031-S-BLA,77.49,True,BD,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000057,OJ-0031-S-BRO,71.74,True,VN,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000058,OJ-0031-M-GRA,52.78,True,VN,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000059,OJ-0031-M-BLA,81.66,True,PT,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000060,OJ-0031-M-BRO,92.02,True,PT,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000061,OJ-0031-L-GRA,56.46,True,BD,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000062,OJ-0031-L-BLA,87.97,True,BD,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000063,OJ-0031-L-BRO,117.12,True,PT,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000064,OJ-0031-XL-GRA,77.54,True,IN,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000065,OJ-0031-XL-BLA,112.08,True,PT,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000066,OJ-0031-XL-BRO,46.27,True,PT,2024-10-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000067,OJ-0032-XS-BRO,117.07,True,PT,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000068,OJ-0032-XS-GRA,117.28,True,CN,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000069,OJ-0032-S-BRO,68.06,True,PT,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000070,OJ-0032-S-GRA,115.3,True,IN,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000071,OJ-0032-M-BRO,75.31,True,IN,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000072,OJ-0032-M-GRA,79.22,True,BD,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000073,OJ-0032-L-BRO,58.32,True,BD,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000074,OJ-0032-L-GRA,84.78,True,VN,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000075,OJ-0032-XL-BRO,59.73,True,BD,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000076,OJ-0032-XL-GRA,102.13,True,PT,2023-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000077,OJ-0033-XS-GRA,90.7,True,IN,2023-03-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000078,OJ-0033-S-GRA,86.36,True,BD,2023-03-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000079,OJ-0034-XS-BRO,80.84,True,PT,2024-11-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000080,OJ-0035-XS-CAM,109.05,True,CN,2023-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000081,OJ-0035-XS-NAV,62.25,True,BD,2023-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000082,OJ-0035-S-CAM,37.65,True,PT,2023-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000083,OJ-0035-S-NAV,69.48,True,PT,2023-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000084,OJ-0036-XS-BLA,97.99,True,BD,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000085,OJ-0036-XS-OLI,109.44,True,IN,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000086,OJ-0036-S-BLA,105.34,True,PT,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000087,OJ-0036-S-OLI,57.36,True,CN,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000088,OJ-0036-M-BLA,121.59,True,BD,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000089,OJ-0036-M-OLI,110.91,True,IN,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000090,OJ-0037-XS-BLA,124.36,True,VN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000091,OJ-0037-XS-OLI,49.31,True,CN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000092,OJ-0037-XS-NAV,104.4,True,IN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000093,OJ-0037-S-BLA,54.17,True,IN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000094,OJ-0037-S-OLI,58.83,True,VN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000095,OJ-0037-S-NAV,69.07,True,IN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000096,OJ-0037-M-BLA,57.74,True,IN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000097,OJ-0037-M-OLI,84.88,True,PT,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000098,OJ-0037-M-NAV,42.81,True,VN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000099,OJ-0037-L-BLA,80.89,True,IN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000100,OJ-0037-L-OLI,84.18,True,BD,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000101,OJ-0037-L-NAV,65.73,True,CN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000102,OJ-0037-XL-BLA,96.04,True,BD,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000103,OJ-0037-XL-OLI,113.16,True,CN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000104,OJ-0037-XL-NAV,41.22,True,VN,2024-11-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000105,OJ-0038-XS-OLI,95.42,True,BD,2023-10-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000106,OJ-0038-S-OLI,47.09,True,IN,2023-10-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000107,OJ-0038-M-OLI,99.33,True,BD,2023-10-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000108,OJ-0038-L-OLI,126.62,True,CN,2023-10-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000109,OJ-0038-XL-OLI,127.96,True,VN,2023-10-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000110,OJ-0038-XXL-OLI,92.86,True,CN,2023-10-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000111,OJ-0039-XS-NAV,123.64,True,PT,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000112,OJ-0039-XS-CAM,108.69,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000113,OJ-0039-XS-BLA,45.77,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000114,OJ-0039-S-NAV,61.57,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000115,OJ-0039-S-CAM,62.22,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000116,OJ-0039-S-BLA,106.95,True,PT,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000117,OJ-0039-M-NAV,52.53,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000118,OJ-0039-M-CAM,107.38,True,VN,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000119,OJ-0039-M-BLA,110.91,True,VN,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000120,OJ-0039-L-NAV,76.39,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000121,OJ-0039-L-CAM,52.8,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000122,OJ-0039-L-BLA,56.96,True,PT,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000123,OJ-0039-XL-NAV,105.55,True,VN,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000124,OJ-0039-XL-CAM,131.78,True,VN,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000125,OJ-0039-XL-BLA,50.26,True,PT,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000126,OJ-0039-XXL-NAV,94.04,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000127,OJ-0039-XXL-CAM,39.27,True,BD,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000128,OJ-0039-XXL-BLA,132.3,True,IN,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000129,OJ-0040-XS-NAV,97.65,True,CN,2022-12-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000130,OJ-0040-S-NAV,133.45,True,CN,2022-12-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000131,OJ-0040-M-NAV,123.65,True,VN,2022-12-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000132,OJ-0040-L-NAV,81.06,True,BD,2022-12-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000133,OJ-0040-XL-NAV,48.48,True,VN,2022-12-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000134,OJ-0041-XS-OLI,127.86,True,VN,2023-04-06T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000135,OJ-0041-XS-CAM,115.74,True,CN,2023-04-06T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000136,OJ-0041-XS-GRA,91.52,True,BD,2023-04-06T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000137,OJ-0041-S-OLI,119.52,True,BD,2023-04-06T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000138,OJ-0041-S-CAM,118.14,True,PT,2023-04-06T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000139,OJ-0041-S-GRA,93.93,True,VN,2023-04-06T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000140,OJ-0042-XS-OLI,104.64,True,VN,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000141,OJ-0042-XS-CAM,58.35,True,BD,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000142,OJ-0042-S-OLI,128.02,True,IN,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000143,OJ-0042-S-CAM,116.85,True,CN,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000144,OJ-0042-M-OLI,117.6,True,IN,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000145,OJ-0042-M-CAM,110.93,True,CN,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000146,OJ-0042-L-OLI,76.59,True,BD,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000147,OJ-0042-L-CAM,60.87,True,CN,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000148,OJ-0042-XL-OLI,132.19,True,BD,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000149,OJ-0042-XL-CAM,70.48,True,VN,2024-02-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000150,OJ-0043-XS-NAV,97.82,True,VN,2024-09-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000151,OJ-0043-S-NAV,54.18,True,VN,2024-09-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000152,OJ-0043-M-NAV,99.25,True,VN,2024-09-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000153,OJ-0043-L-NAV,89.7,True,CN,2024-09-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000154,OJ-0044-XS-BRO,42.89,True,CN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000155,OJ-0044-XS-BLA,61.82,True,CN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000156,OJ-0044-S-BRO,60.89,True,VN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000157,OJ-0044-S-BLA,41.45,True,IN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000158,OJ-0044-M-BRO,53.33,True,CN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000159,OJ-0044-M-BLA,70.9,True,IN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000160,OJ-0044-L-BRO,72.97,True,VN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000161,OJ-0044-L-BLA,93.18,True,BD,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000162,OJ-0044-XL-BRO,82.11,True,IN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000163,OJ-0044-XL-BLA,112.23,True,CN,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000164,OJ-0044-XXL-BRO,44.26,True,BD,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000165,OJ-0044-XXL-BLA,115.77,True,BD,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000166,OJ-0045-XS-OLI,53.51,True,BD,2024-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000167,OJ-0045-S-OLI,92.29,True,IN,2024-06-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000168,OJ-0046-XS-BRO,92.83,True,IN,2024-04-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000169,OJ-0046-XS-CAM,132.79,True,PT,2024-04-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000170,OJ-0046-XS-OLI,39.77,True,BD,2024-04-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000171,OJ-0047-XS-NAV,72.56,True,VN,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000172,OJ-0047-XS-GRA,61.54,True,PT,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000173,OJ-0047-S-NAV,60.25,True,IN,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000174,OJ-0047-S-GRA,69.44,True,CN,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000175,OJ-0047-M-NAV,82.99,True,CN,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000176,OJ-0047-M-GRA,64.13,True,CN,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000177,OJ-0047-L-NAV,70.32,True,CN,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000178,OJ-0047-L-GRA,114.52,True,PT,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000179,OJ-0047-XL-NAV,64.84,True,BD,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000180,OJ-0047-XL-GRA,56.45,True,VN,2022-08-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000181,OJ-0048-XS-OLI,61.67,True,IN,2023-02-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000182,OJ-0048-S-OLI,109.47,True,BD,2023-02-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000183,OJ-0048-M-OLI,58.27,True,PT,2023-02-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000184,OJ-0048-L-OLI,80.63,True,IN,2023-02-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000185,OJ-0048-XL-OLI,130.12,True,PT,2023-02-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000186,OJ-0048-XXL-OLI,104.44,True,IN,2023-02-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000187,OJ-0049-XS-OLI,37.74,True,BD,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000188,OJ-0049-XS-CAM,87.03,True,BD,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000189,OJ-0049-XS-BRO,113.98,True,PT,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000190,OJ-0049-S-OLI,71.82,True,CN,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000191,OJ-0049-S-CAM,119.34,True,PT,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000192,OJ-0049-S-BRO,92.61,True,PT,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000193,OJ-0049-M-OLI,67.62,True,PT,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000194,OJ-0049-M-CAM,52.23,True,BD,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000195,OJ-0049-M-BRO,96.06,True,IN,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000196,OJ-0049-L-OLI,91.2,True,BD,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000197,OJ-0049-L-CAM,64.68,True,IN,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000198,OJ-0049-L-BRO,57.18,True,IN,2023-05-21T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000199,OJ-0050-XS-NAV,111.43,True,BD,2024-09-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000200,OJ-0051-XS-BLA,92.04,True,VN,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000201,OJ-0051-S-BLA,105.07,True,BD,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000202,OJ-0051-M-BLA,132.37,True,VN,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000203,OJ-0051-L-BLA,84.83,True,IN,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000204,OJ-0052-XS-BLA,47.77,True,IN,2024-09-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000205,OJ-0052-S-BLA,67.7,True,CN,2024-09-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000206,OJ-0052-M-BLA,89.14,True,VN,2024-09-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000207,OJ-0052-L-BLA,125.03,True,BD,2024-09-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000208,OJ-0052-XL-BLA,92.48,True,BD,2024-09-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000209,OJ-0053-XS-BRO,69.99,True,VN,2022-11-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000210,OJ-0053-XS-BLA,39.65,True,CN,2022-11-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000211,OJ-0053-S-BRO,85.81,True,PT,2022-11-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000212,OJ-0053-S-BLA,61.73,True,CN,2022-11-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000213,OJ-0054-XS-NAV,72.97,True,PT,2024-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000214,OJ-0054-XS-GRA,100.25,True,BD,2024-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000215,OJ-0055-XS-BLA,125.82,True,PT,2023-10-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000216,OJ-0055-S-BLA,87.3,True,CN,2023-10-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000217,OJ-0055-M-BLA,79.27,True,CN,2023-10-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000218,OJ-0055-L-BLA,60.19,True,BD,2023-10-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000219,OJ-0056-XS-OLI,47.59,True,PT,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000220,OJ-0056-XS-BLA,98.94,True,CN,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000221,OJ-0056-S-OLI,119.69,True,IN,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000222,OJ-0056-S-BLA,73.64,True,BD,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000223,OJ-0056-M-OLI,38.53,True,VN,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000224,OJ-0056-M-BLA,121.37,True,BD,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000225,OJ-0056-L-OLI,76.02,True,BD,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000226,OJ-0056-L-BLA,91.99,True,CN,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000227,OJ-0056-XL-OLI,82.9,True,IN,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000228,OJ-0056-XL-BLA,93.67,True,CN,2023-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000229,OJ-0057-XS-BLA,48.65,True,PT,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000230,OJ-0057-XS-CAM,95.91,True,VN,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000231,OJ-0057-S-BLA,122.29,True,CN,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000232,OJ-0057-S-CAM,95.55,True,CN,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000233,OJ-0057-M-BLA,42.35,True,CN,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000234,OJ-0057-M-CAM,115.53,True,VN,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000235,OJ-0057-L-BLA,101.13,True,PT,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000236,OJ-0057-L-CAM,117.66,True,IN,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000237,OJ-0058-XS-BLA,114.89,True,BD,2023-06-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000238,OJ-0058-XS-BRO,76.9,True,BD,2023-06-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000239,OJ-0058-XS-CAM,96.1,True,BD,2023-06-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
3000240,OJ-0058-S-BLA,122.06,True,CN,2023-06-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
